Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
1.5,1.5109514387627,25.3311564066301,1.5,4.861,188.703
1.498,1.51227180967629,25.3438262179123,1.498,4.861,191.86
1.5,1.50966364534433,25.345845055548,1.5,4.861,195
1.498,1.50882160716127,25.3549088683883,1.498,4.861,198.188
1.5,1.50866220235498,25.3697806447267,1.5,4.861,201.36
1.5,1.50940984397044,25.3771490777295,1.5,4.861,204.5
1.5,1.51161260164807,25.3798266598337,1.5,4.861,207.657
1.5,1.51388045570734,25.3833185195023,1.5,4.861,210.813
1.5,1.50816626213915,25.3967204957683,1.5,4.861,213.969
1.5,1.51154155761895,25.4073758033202,1.5,4.861,217.11
1.5,1.51107593621033,25.4211163785324,1.5,4.866,220.297
1.5,1.50970040353378,25.4284806131463,1.5,4.866,223.485
1.5,1.51136649388744,25.4349501399774,1.5,4.866,226.672
1.5,1.5112985977566,25.4461792170742,1.5,4.866,229.86
1.5,1.51100255172923,25.4615186780828,1.5,4.866,233.078
1.5,1.50970820997429,25.4711749588843,1.5,4.866,236.36
1.5,1.51223371105508,25.480218072642,1.5,4.866,239.594
1.5,1.50900434541158,25.4844135416017,1.5,4.866,242.813
1.5,1.5140210303977,25.5051996650007,1.5,4.872,246.11
1.498,1.50948745242564,25.5037082484707,1.498,4.872,249.375
1.5,1.50883184743604,25.5210212207499,1.5,4.872,252.641
1.5,1.51149842563702,25.5260423580486,1.5,4.872,255.938
1.5,1.50755877867852,25.534547065622,1.5,4.872,259.219
1.5,1.5086183135293,25.5524154793545,1.5,4.872,262.547
1.498,1.51209634749597,25.5560376712336,1.498,4.872,265.828
1.5,1.50843130916651,25.5804781033333,1.5,4.872,269.157
1.5,1.51112137734998,25.584793706726,1.5,4.872,272.469
1.498,1.50824526740736,25.5905725778855,1.498,4.872,275.875
1.5,1.50852250710947,25.6035393749538,1.5,4.872,279.219
1.5,1.51014076099993,25.6157969911554,1.5,4.877,282.594
1.498,1.51094820237748,25.617327387539,1.498,4.877,285.953
1.5,1.51254086945097,25.635361186168,1.5,4.877,289.344
1.5,1.51267089014526,25.6486033955933,1.5,4.877,292.719
1.498,1.51199282649715,25.6603757584368,1.498,4.877,296.141
1.498,1.50999385584121,25.6709505513289,1.498,4.877,299.547
1.5,1.51225024963809,25.6698283575679,1.5,4.877,302.969
1.5,1.5107857234076,25.6905555679122,1.5,4.877,306.375
1.5,1.51313621512949,25.6998012140892,1.5,4.877,309.797
1.5,1.51126898310971,25.7130866065098,1.5,4.883,313.25
1.5,1.51012014542547,25.7250383110868,1.5,4.883,316.703
1.5,1.51188606789291,25.7328324005733,1.5,4.883,320.157
1.5,1.51012506022855,25.7363549468072,1.5,4.883,323.625
1.5,1.50750450784915,25.7436077042141,1.5,4.883,327.078
1.5,1.51074951880405,25.7529609040825,1.5,4.883,330.563
1.5,1.51163443363974,25.7540237314573,1.5,4.883,334.047
1.498,1.51211630194843,25.7665947272825,1.498,4.883,337.547
1.5,1.51172293096363,25.7857916999323,1.5,4.883,341.063
1.5,1.51070668008001,25.7920682691494,1.5,4.883,344.594
1.5,1.50789052634257,25.8066027509992,1.5,4.883,348.203
1.5,1.51320345690062,25.8051595600353,1.5,4.888,351.735
1.498,1.50988564891736,25.8281980904533,1.498,4.888,355.282
1.5,1.50792120329312,25.8409238012012,1.5,4.888,358.891
1.5,1.5130807588419,25.8459769841106,1.5,4.888,362.485
1.5,1.51142691777908,25.8563870409218,1.5,4.888,366.125
1.5,1.51038781360978,25.8685748762588,1.5,4.888,369.719
1.5,1.51162282008008,25.8689426727188,1.5,4.888,373.36
1.5,1.51001541217039,25.8778391347865,1.5,4.893,377
1.5,1.51035199212917,25.8926239218866,1.5,4.893,380.641
1.5,1.50910767322279,25.905303481355,1.5,4.893,384.297
1.5,1.51238907854837,25.9210124084664,1.5,4.893,387.985
1.5,1.50937415440849,25.9275922572831,1.5,4.893,391.688
1.498,1.5105374637281,25.9353124395004,1.498,4.893,395.438
1.498,1.50994662112723,25.9368638825259,1.498,4.893,399.203
1.5,1.51168295747572,25.9549121890159,1.5,4.893,403
1.5,1.50803756550851,25.969578917112,1.5,4.888,406.735
1.5,1.51153306254022,25.9717492174787,1.5,4.888,410.5
1.5,1.50967069917989,25.981966637621,1.5,4.888,414.266
1.498,1.51221934960333,25.9910885494548,1.498,4.888,418.047
1.5,1.5098053514484,26.007129293927,1.5,4.888,421.844
1.498,1.50711528352889,26.0192855714609,1.498,4.888,425.641
1.5,1.51283167472549,26.0290491236958,1.5,4.893,429.469
1.498,1.5094196970196,26.0439251034987,1.498,4.893,433.282
1.498,1.51167381660143,26.0596950826965,1.498,4.893,437.219
1.498,1.51178706291165,26.073227146913,1.498,4.893,441.078
1.498,1.51103411717121,26.0840369728414,1.498,4.893,444.938
1.5,1.51133439030261,26.0954636214898,1.5,4.893,448.875
1.5,1.51383197103148,26.1112156492332,1.5,4.893,452.766
1.498,1.51071722321161,26.1274017950625,1.498,4.899,456.75
1.498,1.51057920349913,26.1455504049853,1.498,4.899,460.672
1.5,1.50993955128529,26.1513998743506,1.5,4.899,464.625
1.5,1.51185472964797,26.1675919418074,1.5,4.899,468.563
1.498,1.50980083327567,26.173092866202,1.498,4.899,472.547
1.5,1.510251644746,26.1849000954944,1.5,4.899,476.578
1.5,1.51247453847843,26.1942751645346,1.5,4.899,480.547
1.498,1.50976569787278,26.2155552912286,1.498,4.899,484.547
1.498,1.5093604484526,26.2352949454715,1.498,4.904,488.594
1.5,1.51047253194465,26.2529672099159,1.5,4.899,492.657
1.5,1.50555468348658,26.2620660861712,1.5,4.904,496.735
1.5,1.51094554594127,26.2742950154244,1.5,4.904,500.813
1.498,1.5123670535468,26.2884948076118,1.498,4.904,504.907
1.5,1.51120142188734,26.3104722312391,1.5,4.904,508.985
1.5,1.51081522501501,26.3132368904126,1.5,4.904,513.063
1.498,1.51229468221797,26.3377340665553,1.498,4.904,517.172
1.5,1.51065690406415,26.3512593839696,1.5,4.904,521.344
1.5,1.51073823103701,26.3689747436156,1.5,4.91,525.532
1.5,1.51156631287461,26.3883211487589,1.5,4.91,529.766
1.5,1.50892196026403,26.3961691456591,1.5,4.91,533.953
1.5,1.51052197382605,26.4052425134662,1.5,4.91,538.141
1.498,1.51087685142865,26.4289233861365,1.498,4.91,542.391
1.498,1.51255672633364,26.4437860246532,1.498,4.91,546.61
1.5,1.51205507142062,26.4614267544484,1.5,4.915,550.844
1.498,1.51045704170994,26.4730243048344,1.498,4.915,555.125
1.5,1.50987401619505,26.4912272047947,1.5,4.915,559.422
1.498,1.5106555364455,26.5110908675916,1.498,4.915,563.766
1.498,1.50788650228298,26.5235897571708,1.498,4.915,568.11
1.5,1.50705960258873,26.5354511234733,1.5,4.915,572.5
1.5,1.50916355953647,26.5566149378493,1.5,4.915,576.907
1.5,1.51132574161191,26.5818826395454,1.5,4.915,581.344
1.5,1.51182034129102,26.5967675972724,1.5,4.921,585.766
1.5,1.50849971783694,26.6052463934731,1.5,4.921,590.157
1.5,1.51144535658425,26.6439223021834,1.5,4.921,594.547
1.5,1.51342129573678,26.6626203605787,1.5,4.921,598.969
1.5,1.50814375690066,26.6849020091886,1.5,4.921,603.422
1.5,1.50733889831552,26.6977895164196,1.5,4.921,607.907
1.5,1.51342662122789,26.7195015418133,1.5,4.921,612.516
1.5,1.51341502870778,26.7375098221866,1.5,4.926,617.141
1.498,1.5086873357802,26.7583069119584,1.498,4.926,621.641
1.5,1.51036141025106,26.7744152673276,1.5,4.926,626.157
1.5,1.51087094573324,26.7927272251578,1.5,4.926,630.719
1.5,1.50916703958789,26.8038883636547,1.5,4.926,635.266
1.5,1.51190910105353,26.8277613216856,1.5,4.926,639.875
1.5,1.51043453146752,26.8499759369411,1.5,4.926,644.532
1.5,1.51027939977552,26.8673701434409,1.5,4.926,649.188
1.5,1.51289422141167,26.8877293733569,1.5,4.931,653.828
1.5,1.51124448999193,26.9129450964572,1.5,4.931,658.485
1.498,1.51248783723012,26.9319309255662,1.498,4.931,663.172
1.498,1.51039058990034,26.9547888729504,1.498,4.931,667.891
1.497,1.50860610262527,26.9680908393703,1.497,4.931,673
1.496,1.50921604941637,26.9878352425312,1.496,4.931,677.891
1.494,1.50753296346521,27.0220826866576,1.494,4.931,682.75
1.493,1.50597660582144,27.0422971593498,1.493,4.931,687.672
1.49,1.50066827935562,27.0537115551427,1.49,4.931,692.547
1.489,1.5002150501445,27.0684963691995,1.489,4.931,697.5
1.488,1.49798191440327,27.0922811414661,1.488,4.931,702.5
1.496,1.5060491047961,27.1064040497946,1.496,4.931,707.422
1.485,1.49615905154883,27.1226853801477,1.485,4.926,712.453
1.473,1.483595042678,27.1401810313736,1.473,4.921,717.516
1.462,1.47417101353904,27.1694879249731,1.462,4.915,722.907
1.451,1.46365783932038,27.1820302663633,1.451,4.91,728.078
1.44,1.44940184816666,27.1949775866055,1.44,4.904,733.297
1.429,1.43931642750786,27.2255598854411,1.429,4.899,738.516
1.428,1.43849768512208,27.2380290958578,1.428,4.899,744.141
1.416,1.42602717863165,27.2516609264459,1.416,4.893,749.532
1.406,1.41711032916927,27.267882699348,1.406,4.888,754.907
1.394,1.4055241655836,27.2809951050562,1.394,4.883,760.344
1.392,1.40557807627072,27.2922041425511,1.392,4.883,765.75
1.382,1.38977240256072,27.3024118328127,1.382,4.877,771.282
1.371,1.38001311838958,27.3194960537556,1.371,4.872,777.203
1.369,1.38091534885097,27.3368307810408,1.369,4.872,782.891
1.358,1.37000507589155,27.3387122369223,1.358,4.866,788.547
1.348,1.35685732212582,27.3541071048859,1.348,4.861,794.235
1.346,1.35712355084566,27.3637723304488,1.346,4.861,799.907
1.335,1.34626840802397,27.3736187425466,1.335,4.856,805.594
1.323,1.3357755400947,27.3828872766623,1.323,4.85,811.344
1.323,1.33563525394341,27.392652154837,1.323,4.85,817.063
1.312,1.32048900432312,27.4075188230062,1.312,4.845,822.844
1.3,1.3072573017707,27.409752858679,1.3,4.839,828.61
1.291,1.29920293190026,27.4158776312688,1.291,4.834,834.469
1.289,1.29866200403294,27.4245516219526,1.289,4.834,840.282
1.277,1.2910015171741,27.4290057809488,1.277,4.829,846.188
1.276,1.28687825309163,27.4349275657173,1.276,4.829,851.985
1.274,1.28421155195691,27.4371899743465,1.274,4.829,857.938
1.263,1.27480325579743,27.4426184530143,1.263,4.823,863.797
1.252,1.26201274918281,27.4451340315907,1.252,4.818,869.766
1.242,1.25223588383301,27.4426798816133,1.242,4.812,875.766
1.229,1.2415167114831,27.4420557352138,1.229,4.807,881.766
1.22,1.22883029718062,27.4406247286601,1.22,4.802,887.782
1.218,1.22670409275196,27.4438935575414,1.218,4.802,893.782
1.208,1.21814793565657,27.4379370413799,1.208,4.796,899.797
1.195,1.20184729680428,27.4388021824424,1.195,4.791,905.844
1.195,1.2017779248423,27.435295526867,1.195,4.791,912
1.183,1.19352009306359,27.4402343611717,1.183,4.785,918.172
1.172,1.17844837731588,27.4278750684368,1.172,4.78,924.297
1.171,1.1802440581621,27.4265790510126,1.171,4.78,930.453
1.16,1.1674998798062,27.4159786801582,1.16,4.775,936.61
1.149,1.16135801276585,27.4074560443809,1.149,4.769,942.86
1.138,1.14791869411108,27.3967036722655,1.138,4.764,949.032
1.137,1.14567269875476,27.3840630690755,1.137,4.758,955.297
1.126,1.13409542256919,27.3885481976995,1.126,4.758,961.594
1.115,1.12449293714718,27.3758145232642,1.115,4.753,967.922
1.114,1.12428383751239,27.3691504419839,1.114,4.753,974.203
1.103,1.11112392728916,27.3554545163706,1.103,4.748,980.5
1.102,1.11195298274384,27.3504488452056,1.102,4.748,986.813
1.092,1.09770200817051,27.3388238247851,1.092,4.742,993.188
1.081,1.09121054736992,27.3280472145595,1.081,4.737,999.641
1.07,1.07634467668664,27.3176087502294,1.07,4.731,1006.094
1.069,1.07656034036143,27.308762272948,1.069,4.731,1012.547
1.06,1.06762570343376,27.2927759852738,1.06,4.726,1019
1.058,1.06459546807154,27.2802931300547,1.058,4.726,1025.516
1.046,1.05381983702501,27.2732037696808,1.046,4.721,1032
1.045,1.05282745773256,27.259647507976,1.045,4.721,1038.594
1.045,1.05277620179881,27.2496344423855,1.045,4.721,1045.188
1.034,1.04032351732957,27.230214934923,1.034,4.715,1051.797
1.023,1.03164436172724,27.2084284285184,1.023,4.71,1058.438
1.021,1.02856811112497,27.2011206769626,1.021,4.71,1065.078
1.011,1.01809562919456,27.1706200199595,1.011,4.704,1071.782
1,1.00909216025984,27.1556252769683,1,4.699,1078.453
0.989,0.995384621558278,27.1381945138776,0.989,4.694,1085.125
0.988,0.995391850254076,27.128704754367,0.988,4.694,1091.813
0.988,0.993779844176538,27.1177711142196,0.988,4.694,1098.532
0.986,0.991555152142978,27.0943972005936,0.986,4.694,1105.282
0.975,0.98295847778085,27.0788408884316,0.975,4.688,1112.157
0.964,0.971776696451731,27.0624689264581,0.964,4.683,1119.032
0.963,0.972408184915031,27.0425666036867,0.963,4.683,1125.844
0.952,0.959235206867338,27.0349059143452,0.952,4.677,1132.688
0.941,0.948276674776732,27.0047049337125,0.941,4.672,1139.657
0.941,0.947926830316841,26.9957800754592,0.941,4.672,1146.594
0.94,0.948272636655972,26.9852386336695,0.94,4.672,1153.469
0.929,0.939604891704666,26.9636989482559,0.929,4.667,1160.516
0.92,0.924715471576976,26.9456959288677,0.92,4.661,1167.578
0.918,0.925471416278977,26.9217771887534,0.918,4.661,1174.594
0.917,0.92433511828792,26.8974269027741,0.917,4.661,1181.61
0.906,0.912821947150904,26.8832729844872,0.906,4.656,1188.688
0.905,0.910708283820437,26.8663456998172,0.905,4.656,1195.75
0.895,0.901020097647718,26.8511665748072,0.895,4.65,1202.938
0.894,0.900222609683162,26.8386929650616,0.894,4.65,1210.094
0.884,0.890647623718995,26.8159984460845,0.884,4.645,1217.297
0.883,0.886584612970134,26.7997509305834,0.883,4.645,1224.532
0.872,0.879580991726169,26.7823582876341,0.872,4.64,1231.719
0.871,0.876987081355638,26.7739182125382,0.871,4.64,1239.016
0.86,0.865326848329603,26.7521561698332,0.86,4.634,1246.328
0.86,0.866684924802877,26.7388255110547,0.86,4.634,1253.641
0.849,0.854809375539927,26.713728630477,0.849,4.629,1261.016
0.848,0.852756622381849,26.6917710567187,0.848,4.629,1268.407
0.838,0.843897498023751,26.6799631896641,0.838,4.623,1275.797
0.837,0.845605128510244,26.6527209221506,0.837,4.623,1283.219
0.826,0.832810463326217,26.6478338195181,0.826,4.618,1290.641
0.826,0.828367681771162,26.63782099557,0.826,4.618,1298.157
0.824,0.827249545758666,26.6224975980139,0.824,4.618,1305.703
0.814,0.81755059567096,26.6092906546733,0.814,4.613,1313.203
0.812,0.81783367655831,26.5888563827781,0.812,4.613,1320.797
0.811,0.818331642689032,26.5707473867053,0.811,4.613,1328.297
0.811,0.813864850232131,26.5504304657764,0.811,4.613,1335.938
0.79,0.796659879891187,26.5385881503023,0.79,4.596,1343.578
0.79,0.795201875460988,26.5160480111413,0.79,4.602,1351.25
0.789,0.791373609149066,26.5135300325286,0.789,4.602,1358.907
0.788,0.792810044706733,26.4972721619128,0.788,4.602,1366.61
0.778,0.783686827939461,26.4806045907404,0.778,4.596,1374.422
0.767,0.77080248297462,26.4679220473821,0.767,4.591,1382.203
0.766,0.773038215097443,26.4464975990178,0.766,4.591,1389.969
0.765,0.771615358797589,26.4370974996032,0.765,4.586,1397.719
0.754,0.75916599643815,26.4248567467543,0.754,4.58,1405.657
0.735,0.74204622200919,26.4142908378987,0.735,4.575,1413.547
0.735,0.740237922594372,26.4006940386582,0.735,4.575,1421.485
0.733,0.738624357159261,26.3838408347215,0.733,4.575,1429.375
0.732,0.739818260350497,26.3722538442972,0.732,4.569,1437.203
0.732,0.736531543233528,26.3537544706995,0.732,4.575,1445.188
0.731,0.738586660467412,26.3426456448487,0.731,4.575,1453.094
0.729,0.736749231613613,26.3282519262509,0.729,4.575,1461.141
0.72,0.726763139529809,26.3216855244838,0.72,4.569,1469.25
0.709,0.716598686592532,26.3060354371436,0.709,4.558,1477.344
0.708,0.71458838541197,26.2950606726334,0.708,4.558,1485.422
0.689,0.693248287105196,26.289999175218,0.689,4.553,1493.625
0.689,0.694530007099668,26.2663740720615,0.689,4.553,1501.782
0.687,0.69281881340916,26.2418735766369,0.687,4.553,1509.922
0.686,0.691973132854359,26.2325094661048,0.686,4.548,1518.032
0.686,0.692037210894573,26.2176243441778,0.686,4.553,1526.219
0.685,0.691475822584618,26.2069381201656,0.685,4.553,1534.328
0.674,0.67957509109989,26.2002834036419,0.674,4.542,1542.547
0.672,0.679007891851537,26.1792394586277,0.672,4.542,1550.813
0.652,0.659871663928092,26.1737992967077,0.652,4.531,1559.078
0.652,0.656401629691522,26.1669648472525,0.652,4.531,1567.391
0.642,0.643066890279304,26.1451784832092,0.642,4.531,1575.782
0.641,0.644711551252198,26.1375953453441,0.641,4.531,1584.157
0.641,0.648054106630238,26.1211579755908,0.641,4.526,1592.532
0.63,0.632867638478675,26.1130621366902,0.63,4.521,1601.016
0.629,0.632661010299508,26.0973383365527,0.629,4.521,1609.344
0.619,0.623557220807886,26.0807682508797,0.619,4.515,1617.594
0.608,0.613362517692182,26.0765305545003,0.608,4.51,1625.938
0.599,0.603936633820784,26.0568590860716,0.599,4.51,1634.313
0.599,0.603466822354635,26.0477696828515,0.599,4.51,1642.625
0.598,0.601564232800723,26.0347201638681,0.598,4.504,1651
0.598,0.600745153445536,26.0217027498087,0.598,4.504,1659.532
0.587,0.588899141676955,26.005347972396,0.587,4.499,1667.953
0.577,0.581286296650124,25.9998997883682,0.577,4.494,1676.438
0.566,0.570476413303866,25.991624612755,0.566,4.488,1684.922
0.557,0.560475759637461,25.9777280567781,0.557,4.483,1693.532
0.546,0.55071297207215,25.9680297263921,0.546,4.477,1702.078
0.546,0.551089626323668,25.9642991347796,0.546,4.477,1710.688
0.546,0.548613943591935,25.9497253447891,0.546,4.477,1719.282
0.546,0.549182676430663,25.9357148122841,0.546,4.477,1727.922
0.554,0.558695503148432,25.9240382756828,0.554,4.483,1736.641
0.545,0.548134130042457,25.908467317305,0.545,4.477,1745.391
0.534,0.538209541524012,25.9042802848916,0.534,4.472,1754.125
0.524,0.52651062275054,25.8859461973717,0.524,4.467,1762.953
0.523,0.529841084765429,25.8779248095182,0.523,4.467,1771.688
0.523,0.525321852970747,25.8554144628282,0.523,4.467,1780.563
0.523,0.525044106375051,25.860452771136,0.523,4.467,1789.344
0.521,0.524218867849464,25.8454246565922,0.521,4.467,1798.235
0.521,0.523812456646847,25.8287703276558,0.521,4.467,1807.172
0.52,0.526991353989365,25.8117631648371,0.52,4.467,1815.828
0.52,0.523034545968086,25.8062581247134,0.52,4.467,1824.485
0.509,0.511690362701325,25.7868984860936,0.509,4.461,1833.313
0.498,0.502006781292429,25.7709321788503,0.498,4.456,1842.11
0.498,0.5020659786356,25.7677202669189,0.498,4.456,1850.953
0.497,0.500692357782555,25.7585933376567,0.497,4.456,1859.719
0.497,0.498338929609653,25.7514783155119,0.497,4.456,1868.625
0.496,0.503025086159694,25.7352821236346,0.496,4.456,1877.547
0.486,0.489960914388551,25.7272981924051,0.486,4.45,1886.516
0.477,0.480903547838023,25.7103883372967,0.477,4.445,1895.485
0.466,0.469857522312794,25.6982246516494,0.466,4.44,1904.5
0.466,0.47091151346943,25.6844508788711,0.466,4.44,1913.578
0.466,0.46649600704774,25.6760334389793,0.466,4.44,1922.688
0.464,0.4687825134779,25.6685143247379,0.464,4.44,1931.813
0.464,0.467547576541657,25.6590684608754,0.464,4.44,1940.969
0.463,0.471079090357786,25.6434382082045,0.463,4.44,1950.172
0.463,0.467953050864056,25.627825664384,0.463,4.44,1959.344
0.462,0.469675173800388,25.619914620815,0.462,4.44,1968.547
0.452,0.455706303883011,25.616780468591,0.452,4.434,1977.828
0.441,0.444160345899046,25.5979188880066,0.441,4.429,1987.11
0.441,0.443923042028385,25.5824845211105,0.441,4.429,1996.407
0.441,0.441873060245435,25.5795535710327,0.441,4.429,2005.797
0.44,0.443702657089481,25.5719566353114,0.44,4.429,2014.516
0.44,0.442610706008891,25.5618140054533,0.44,4.429,2023.266
0.439,0.442635039633343,25.5527947277524,0.439,4.429,2032.11
0.429,0.434004070059697,25.5475615355303,0.429,4.423,2040.985
0.418,0.420340857348026,25.5224918224516,0.418,4.418,2049.813
0.418,0.424043293142435,25.5203477694219,0.418,4.418,2058.703
0.418,0.423353513005801,25.5072916348778,0.418,4.418,2067.641
0.418,0.422211284023161,25.50277708049,0.418,4.418,2076.532
0.417,0.424976460969518,25.4923308445558,0.417,4.418,2085.469
0.417,0.420335718720699,25.4854707521581,0.417,4.418,2094.469
0.415,0.422307271324585,25.4779282095745,0.415,4.418,2103.563
0.405,0.410257686251288,25.4643508437667,0.405,4.413,2112.641
0.405,0.406320475836273,25.4555439882254,0.405,4.413,2121.766
0.405,0.409485333919297,25.4456620967582,0.405,4.413,2130.828
0.405,0.409839566272484,25.4340383318788,0.405,4.413,2139.985
0.394,0.396085287955223,25.4280827249574,0.394,4.407,2149.235
0.394,0.395272862896423,25.4138567827348,0.394,4.407,2158.5
0.392,0.394764747244774,25.4111765759028,0.392,4.407,2167.797
0.392,0.395631656072534,25.3991195136873,0.392,4.407,2177.047
0.392,0.395957094406755,25.3888569984316,0.392,4.407,2186.344
0.382,0.387115038377585,25.3795426257424,0.382,4.402,2195.782
0.382,0.383583421995922,25.3734190400986,0.382,4.402,2205.141
0.371,0.374843477755772,25.3628026121566,0.371,4.396,2214.625
0.371,0.377355942248306,25.3570408550154,0.371,4.396,2224.032
0.371,0.373564200481128,25.3466571008133,0.371,4.396,2233.516
0.371,0.377143358733651,25.331483366427,0.371,4.396,2243.047
0.369,0.373078603293067,25.3192208303383,0.369,4.396,2252.532
0.369,0.372073115637411,25.3224632571472,0.369,4.396,2262.094
0.36,0.363081576487812,25.3038898963243,0.36,4.391,2271.797
0.358,0.360144402821458,25.2977973924829,0.358,4.391,2281.453
0.358,0.358405640222033,25.2949921456186,0.358,4.391,2291.11
0.349,0.350288213662093,25.2874609680502,0.349,4.386,2300.844
0.349,0.35042486789863,25.2782716399566,0.349,4.386,2310.563
0.348,0.352454170980105,25.2621086757682,0.348,4.386,2320.375
0.348,0.349249852728759,25.2548715520108,0.348,4.386,2330.11
0.346,0.349630343239885,25.2494364374201,0.346,4.386,2340
0.346,0.350441513070925,25.2345325879508,0.346,4.386,2349.844
0.337,0.340337068787026,25.2200788040562,0.337,4.38,2359.766
0.337,0.337050609961846,25.2192782298039,0.337,4.38,2369.672
0.335,0.34158927512357,25.2059517252262,0.335,4.38,2379.688
0.326,0.328330993253277,25.2017630787154,0.326,4.375,2389.735
0.326,0.328376067038755,25.1943126299732,0.326,4.375,2399.813
0.326,0.330970072684068,25.1875365427182,0.326,4.375,2409.875
0.324,0.324949447144655,25.1842382751558,0.324,4.375,2420.016
0.324,0.32895607695198,25.1751734962238,0.324,4.375,2430.157
0.314,0.316892201026061,25.1586995095908,0.314,4.369,2440.375
0.314,0.317253325865491,25.1466049384032,0.314,4.369,2450.563
0.314,0.315349322279468,25.1405735011824,0.314,4.369,2460.844
0.312,0.316747246820368,25.1258256775532,0.312,4.369,2471.125
0.312,0.313419327600892,25.1153221487624,0.312,4.369,2481.407
0.301,0.307443307871134,25.1039265794518,0.301,4.364,2491.828
0.301,0.303125523803943,25.1008568510849,0.301,4.364,2502.157
0.301,0.30635414696566,25.0888805750237,0.301,4.364,2512.016
0.301,0.304347846780657,25.0873183983884,0.301,4.364,2521.938
0.3,0.302146699442354,25.0773821424359,0.3,4.364,2531.86
